no,cve_ent,year,valor
40,27,1993,89.20429
40,28,1993,84.83237
40,29,1993,90.59156
40,30,1993,87.82629999999999
40,31,1993,90.54309
40,32,1993,93.76449
40,00,1994,87.66908
40,01,1994,90.94753
40,02,1994,85.66827
40,03,1994,83.50116
40,04,1994,88.90820000000001
40,05,1994,86.34082
40,06,1994,86.90312
40,07,1994,93.70703
40,08,1994,87.02842
40,09,1994,71.56752
40,10,1994,91.67071
40,11,1994,90.62093
40,12,1994,95.22423
40,13,1994,89.59718
40,14,1994,90.90175
40,15,1994,85.47025
40,16,1994,93.56784
40,17,1994,87.19230999999999
40,18,1994,89.38604
40,19,1994,80.29652
40,20,1994,92.66844
40,21,1994,95.39807
40,22,1994,90.23639
40,23,1994,90.37835
40,24,1994,93.59288
40,25,1994,87.16521
40,26,1994,86.65755999999999
40,27,1994,88.77248
40,28,1994,84.47772
40,29,1994,90.4069
40,30,1994,87.67652
40,31,1994,89.76319000000001
40,32,1994,92.22354
40,00,1995,86.77621
40,01,1995,90.75866
40,02,1995,84.47666
40,03,1995,83.26924
40,04,1995,88.13646
40,05,1995,85.60825
40,06,1995,86.40279
40,07,1995,92.6493
40,08,1995,86.48171
40,09,1995,68.51224
40,10,1995,91.18595
40,11,1995,90.21896
40,12,1995,94.09682
40,13,1995,89.50389
40,14,1995,90.229
40,15,1995,83.99597
40,16,1995,92.19742
40,17,1995,87.22158
40,18,1995,88.74937
40,19,1995,80.45653999999999
40,20,1995,91.62489
40,21,1995,94.21451
40,22,1995,89.20717
40,23,1995,89.99157000000001
40,24,1995,92.77549
40,25,1995,87.25776
40,26,1995,86.88981
40,27,1995,88.35943999999999
40,28,1995,84.14708999999999
40,29,1995,90.16767
40,30,1995,87.48064
40,31,1995,88.84751
40,32,1995,91.4443
40,00,1996,86.09791999999999
40,01,1996,90.39044
40,02,1996,83.89115
40,03,1996,82.92708
40,04,1996,87.41691999999999
40,05,1996,84.95446
40,06,1996,84.97359999999999
40,07,1996,92.06623
40,08,1996,85.41134
40,09,1996,66.91951999999999
40,10,1996,90.58976
40,11,1996,89.71294
40,12,1996,93.32306
40,13,1996,89.10387
40,14,1996,89.36766
40,15,1996,83.30334
40,16,1996,91.4639
40,17,1996,86.44897999999999
40,18,1996,88.19449999999999
40,19,1996,80.4781
40,20,1996,91.13761
40,21,1996,93.06092
40,22,1996,88.42202999999999
40,23,1996,89.16198
40,24,1996,92.04332
40,25,1996,86.92914
40,26,1996,86.773
40,27,1996,87.93098
40,28,1996,83.76865
40,29,1996,89.75642
